xiá xia2
zùn zun4
cāo cao1
jú ju2
zuì zui4
kuī kui1
chú chu2
kǒng kong3
qie qie5
sī si1
jiàn jian4
zhuǎi zhuai3
chòu chou4
huá hua2
guo guo5
zhù zhu4
bing bing5
s s
cán can2
ting ting5
qìng qing4
yà ya4
cuān cuan1
páng pang2
chěn chen3
wēn wen1
yǔ yu3
chan chan5
wéi wei2
xiǎo xiao3
chǔn chun3
zhuāng zhuang1
miào miao4
mu mu5
bō bo1
zhī zhi1
liáng liang2
zuò zuo4
jìn jin4
zhuāi zhuai1
zhòng zhong4
chuǎi chuai3
záo zao2
piāo piao1
xí xi2
bǎng bang3
gǎ ga3
fóu fou2
sāo sao1
tǎn tan3
xié xie2
yào yao4
zuó zuo2
rào rao4
qiāo qiao1
yè ye4
piān pian1
nèn nen4
rùn run4
pa pa5
yuǎn yuan3
yǎng yang3
à a4
máo mao2
pá pa2
dū du1
duàn duan4
shǔn shun3
běng beng3
shēng sheng1
pī pi1
yuě yue3
zhàng zhang4
chén chen2
m2 m
shi shi5
hui hui5
zūn zun1
bī bi1
chē che1
feì fei4
gè ge4
kāng kang1
dūn dun1
shù shu4
ya ya5
xǔ xu3
fiào fiao4
keng5 keng5
hū hu1
jiāo jiao1
chǎng chang3
quan quan5
zhuang zhuang5
zhā zha1
ruó ruo2
fǎn fan3
kǎo kao3
zhì zhi4
dìng ding4
èn en4
shǎng shang3
zhú zhu2
ān an1
xiàn xian4
bèng beng4
cù cu4
lòng long4
tǔn tun3
mǒ mo3
cuo cuo5
nè ne4
hěn hen3
lái lai2
liù liu4
sēn sen1
chái chai2
qǔ qu3
pì pi4
yáo yao2
jūn jun1
biu1 biu1
lán lan2
kěn ken3
mō mo1
chī chi1
sā sa1
jiōng jiong1
xǐn xin3
niē nie1
suǒ suo3
jià jia4
yuán yuan2
tuǎn tuan3
zuǎn zuan3
huàn huan4
lang lang5
hē he1
c pán
nu:e4 nu:e4
yī yi1
huang huang5
ē e1
guǒ guo3
kuài kuai4
nàn nan4
pí pi2
si si5
nòng nong4
sàng sang4
kèn ken4
mi mi5
sǎo sao3
jiào jiao4
zhuàn zhuan4
cǎo cao3
piǎn pian3
rang1 rang1
┬Ě ┬Ě
guō guo1
yi yi5
liāo liao1
lǎo lao3
lèi lei4
piě pie3
qun qun1
zāi zai1
tùn tun4
līn lin1
kuā kua1
tai tai5
bàn ban4
dian dian5
dong dong5
lo lo5
biǎo biao3
káng kang2
pèng peng4
qiāng qiang1
leng leng5
qǐn qin3
shuǐ shui3
tiǎo tiao3
piàn pian4
qiā qia1
qū qu1
zhǎn zhan3
gua gua5
wǎng wang3
ó o2
děi dei3
